position,person,personID,start,end
President,Arnoldo Alemán,Q356647,1997-01-10,2002-01-10
President,Enrique Bolaños,Q311355,2002-01-10,2007-01-10
President,Daniel Ortega,Q57402,2007-01-10,
Vice President,Enrique Bolaños,Q311355,1997-01-10,2000-10-24
Vice President,Rosario Murillo,Q3034382,2017-01-10,
Minister of Foreign Affairs,Francisco Aguirre Sacasa,Q107673986,2000,2002
Minister of Foreign Affairs,José Adán Guerra Pastora,Q108454830,2000,2000
Minister of Foreign Affairs,Norman José Caldera Cardenal,Q108454832,2002,2007
Minister of Foreign Affairs,Samuel Santos López,Q58262,2007-01-11,2017-01
Minister of Foreign Affairs,Denis Moncada,Q28381212,2017-01-17,
